,Name,Ballotpedia Page,State,District,Campaign Twitter,Official Twitter,Personal Twitter,Party,Incumbent?,Percent of Votes
0,James Averhart,https://ballotpedia.org/James_Averhart,Alabama,1,https://www.twitter.com/JAverhart2020,,,Democratic Party,FALSE,0.355
1,Jerry Carl,https://ballotpedia.org/Jerry_Carl,Alabama,1,https://www.twitter.com/CarlForAlabama,https://www.twitter.com/RepJerryCarl,,Republican Party,FALSE,0.644
2,Phyllis Harvey-Hall,https://ballotpedia.org/Phyllis_Harvey-Hall,Alabama,2,https://www.twitter.com/PhyllisDHHall,,,Democratic Party,FALSE,0.34700000000000000
3,Barry Moore,https://ballotpedia.org/Barry_Moore_(Alabama),Alabama,2,https://www.twitter.com/RepBarryMoore,https://www.twitter.com/RepBarryMoore,,Republican Party,FALSE,0.652
4,John Page,https://ballotpedia.org/John_Page_(Alabama),Alabama,2,https://www.twitter.com/JPage4Congress,,,Libertarian Party,FALSE,0.0
5,Mike Rogers,https://ballotpedia.org/Mike_Rogers_(Alabama),Alabama,3,https://www.twitter.com/MikeRogersCamp,https://www.twitter.com/RepMikeRogersAL,,Republican Party,TRUE,0.675
6,Adia Winfrey,https://ballotpedia.org/Adia_Winfrey,Alabama,3,https://www.twitter.com/drdia,,,Democratic Party,FALSE,0.325
7,Robert Aderholt,https://ballotpedia.org/Robert_Aderholt,Alabama,4,,https://www.twitter.com/Robert_Aderholt,,Republican Party,TRUE,0.8220000000000000
8,Rick Neighbors,https://ballotpedia.org/Rick_Neighbors,Alabama,4,https://www.twitter.com/VoteNeighbors,,,Democratic Party,FALSE,0.177
9,Mo Brooks,https://ballotpedia.org/Mo_Brooks,Alabama,5,https://www.twitter.com/MoInTheHouse,https://www.twitter.com/RepMoBrooks,,Republican Party,TRUE,0.958
10,Gary Palmer,https://ballotpedia.org/Gary_Palmer,Alabama,6,https://www.twitter.com/Palmer4Alabama,https://www.twitter.com/USRepGaryPalmer,,Republican Party,TRUE,0.971
11,Kaynen Pellegrino,https://ballotpedia.org/Kaynen_Pellegrino,Alabama,6,https://www.twitter.com/RCVAlabama,,,Independent,FALSE,0.0
12,Terri Sewell,https://ballotpedia.org/Terri_Sewell,Alabama,7,https://www.twitter.com/Sewell4Congress,https://www.twitter.com/RepTerriSewell,,Democratic Party,TRUE,0.972
13,Don Young,https://ballotpedia.org/Don_Young_(Alaska),Alaska,1,https://www.twitter.com/DonYoungAK,https://www.twitter.com/repdonyoung,,Republican Party,TRUE,0.544
14,Alyse Galvin,https://ballotpedia.org/Alyse_Galvin,Alaska,1,https://www.twitter.com/AlyseGalvin,,,Nonpartisan,FALSE,0.45300000000000000
15,Gerald Heikes,https://ballotpedia.org/Gerald_Heikes,Alaska,1,,,,Republican Party,FALSE,0.0
16,Tom O'Halleran,https://ballotpedia.org/Tom_O'Halleran,Arizona,1,https://www.twitter.com/TomOHalleran,https://www.twitter.com/repohalleran,,Democratic Party,TRUE,0.516
17,Tiffany Shedd,https://ballotpedia.org/Tiffany_Shedd,Arizona,1,https://www.twitter.com/Tiffany_Shedd,,,Republican Party,FALSE,0.484
18,Ann Kirkpatrick,https://ballotpedia.org/Ann_Kirkpatrick,Arizona,2,https://www.twitter.com/Ann_Kirkpatrick,https://www.twitter.com/RepKirkpatrick,,Democratic Party,TRUE,0.551
19,Brandon Martin,https://ballotpedia.org/Brandon_Martin_(Arizona),Arizona,2,https://www.twitter.com/PathForFreedom,,,Republican Party,FALSE,0.449
20,Brandon Schlass,https://ballotpedia.org/Brandon_Schlass,Arizona,2,,,,Common Sense Moderate,FALSE,0.0
21,Iman-Utopia Layjou Bah,https://ballotpedia.org/Iman-Utopia_Layjou_Bah,Arizona,2,,,https://www.twitter.com/ImanBah,Independent,FALSE,0.0
22,Raul Grijalva,https://ballotpedia.org/Raul_Grijalva,Arizona,3,https://www.twitter.com/standwithraul,https://www.twitter.com/repraulgrijalva,,Democratic Party,TRUE,0.6460000000000000
23,Daniel Wood,https://ballotpedia.org/Daniel_Wood_(Arizona),Arizona,3,https://www.twitter.com/DWood4Congress,,,Republican Party,FALSE,0.354
24,Paul Gosar,https://ballotpedia.org/Paul_Gosar,Arizona,4,,https://www.twitter.com/RepGosar,https://www.twitter.com/DrPaulGosar,Republican Party,TRUE,0.6970000000000000
25,Delina DiSanto,https://ballotpedia.org/Delina_DiSanto,Arizona,4,https://www.twitter.com/delina4az,,,Democratic Party,FALSE,0.302
26,Miko Jones,https://ballotpedia.org/Miko_Jones,Arizona,4,,,,Democratic Party,FALSE,0.0
27,Don Overholser,https://ballotpedia.org/Don_Overholser,Arizona,4,,,,Republican Party,FALSE,0.0
28,Brett Brennan,https://ballotpedia.org/Brett_Brennan,Arizona,4,,,,Libertarian Party,FALSE,0.0
29,Ana Perez Gissy,https://ballotpedia.org/Ana_Perez_Gissy,Arizona,4,https://www.twitter.com/CongressAZ04,,,Independent,FALSE,0.0
30,Emily Robinson,https://ballotpedia.org/Emily_Robinson,Arizona,4,https://www.twitter.com/robinsonazcd4,,,Independent,FALSE,0.0
31,Andy Biggs,https://ballotpedia.org/Andy_Biggs,Arizona,5,https://www.twitter.com/andybiggs4az,https://www.twitter.com/RepAndyBiggsAZ,,Republican Party,TRUE,0.589
32,Joan Greene,https://ballotpedia.org/Joan_Greene,Arizona,5,https://www.twitter.com/joangreeneaz,,,Democratic Party,FALSE,0.41100000000000000
33,Karen Stephens,https://ballotpedia.org/Karen_Stephens,Arizona,5,,,,Republican Party,FALSE,0.0
34,David Schweikert,https://ballotpedia.org/David_Schweikert,Arizona,6,https://www.twitter.com/DavidSchweikert,https://www.twitter.com/RepDavid,,Republican Party,TRUE,0.522
35,Hiral Tipirneni,https://ballotpedia.org/Hiral_Tipirneni,Arizona,6,https://www.twitter.com/hiral4congress,,,Democratic Party,FALSE,0.478
